city_id,city_name,country_code,app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,pod,precip_rate,pres,revision_status,rh,slp,snow_rate,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,wind_dir,wind_gust_spd,wind_spd,weather_description,weather_icon,weather_code
1566083,Ho Chi Minh City,VN,30.5,88.3,87,24.8,69,614,16.2,234,d,0,1007,final,88,1009,0,85,27,2025-04-01T07:00:00,2025-04-01T00:00:00,1743465600,0.9,5,290,5.2,1.5,Overcast clouds,c04d,804
1566083,Ho Chi Minh City,VN,31.7,89,68,24.9,76,658,19.9,299,d,0,1007,final,86,1009,0,204,27.5,2025-04-01T07:15:00,2025-04-01T00:15:00,1743466500,1.3,5,280,5.7,1.5,Broken clouds,c03d,803
1566083,Ho Chi Minh City,VN,32.6,89.7,50,24.8,82,702,23.6,365,d,0,1007,final,83,1009,0,307,28,2025-04-01T07:30:00,2025-04-01T00:30:00,1743467400,1.9,6,270,6.2,1.5,Broken clouds,c03d,803
1566083,Ho Chi Minh City,VN,32.6,90.4,68,24.8,89,746,27.3,430,d,0,1007,final,83,1009,0,294,28,2025-04-01T07:45:00,2025-04-01T00:45:00,1743468300,1.7,7,280,6.7,1.25,Broken clouds,c03d,803
1566083,Ho Chi Minh City,VN,32.6,91.1,87,24.8,96,790,31,496,d,0,1008,final,83,1010,0,181,28,2025-04-01T08:00:00,2025-04-01T01:00:00,1743469200,1.5,8,285,7.2,1,Overcast clouds,c04d,804
1566083,Ho Chi Minh City,VN,33.6,91.9,87,24.9,100,812,34.7,555,d,0,1008,final,81,1010,0,203,28.5,2025-04-01T08:15:00,2025-04-01T01:15:00,1743470100,1.7,7,290,7.3,1.8,Overcast clouds,c04d,804
1566083,Ho Chi Minh City,VN,34.5,92.8,87,25,104,835,38.3,615,d,0,1008,final,79,1010,0,224,29,2025-04-01T08:30:00,2025-04-01T01:30:00,1743471000,1.9,7,300,7.4,2.6,Overcast clouds,c04d,804
1566083,Ho Chi Minh City,VN,35.2,93.6,68,24.8,108,857,42,675,d,0,1008,final,76,1010,0,461,29.5,2025-04-01T08:45:00,2025-04-01T01:45:00,1743471900,2.9,7,315,7.5,2.35,Broken clouds,c03d,803
1566083,Ho Chi Minh City,VN,36,94.5,50,24.9,112,880,45.7,735,d,0,1009,final,74,1011,0,618,30,2025-04-01T09:00:00,2025-04-01T02:00:00,1743472800,4,8,330,7.6,2.1,Broken clouds,c03d,803
1566083,Ho Chi Minh City,VN,36.2,95.8,59,24.6,115,892,49.4,782,d,0,1009,final,72,1011,0,608,30.3,2025-04-01T09:15:00,2025-04-01T02:15:00,1743473700,4,8,315,7.8,1.95,Broken clouds,c03d,803
1566083,Ho Chi Minh City,VN,36.3,97.1,68,24.4,117,905,53,829,d,0,1009,final,70,1011,0,568,30.5,2025-04-01T09:30:00,2025-04-01T02:30:00,1743474600,4,8,300,8,1.8,Broken clouds,c03d,803
1566083,Ho Chi Minh City,VN,36.4,98.4,78,24.2,120,918,56.7,876,d,0.25,1009,final,68,1011,0,475,30.8,2025-04-01T09:45:00,2025-04-01T02:45:00,1743475500,3.8,8,285,8.2,1.65,Overcast clouds,c04d,804
1566083,Ho Chi Minh City,VN,36.4,99.7,87,23.9,122,930,60.3,923,d,0.5,1009,final,66,1011,0,341,31,2025-04-01T10:00:00,2025-04-01T03:00:00,1743476400,3.6,8,270,8.4,1.5,Overcast clouds,c04d,804
1566083,Ho Chi Minh City,VN,37.1,102.8,87,23.9,124,937,63.9,952,d,0.25,1009,final,64,1011,0,352,31.5,2025-04-01T10:15:00,2025-04-01T03:15:00,1743477300,3.9,7,255,8.4,2.04,Overcast clouds,c04d,804
1566083,Ho Chi Minh City,VN,37.7,106,87,23.8,125,943,67.5,982,d,0,1009,final,62,1011,0,363,32,2025-04-01T10:30:00,2025-04-01T03:30:00,1743478200,4.1,7,240,8.4,2.6,Overcast clouds,c04d,804
