TaxiID,TimeStamp,Longitude,Latitude
1,2008-02-03 00:00:32,116.69171,39.85184
1,2008-02-03 00:10:32,116.6917,39.85184
1,2008-02-03 00:20:32,116.6917,39.85184
1,2008-02-03 00:30:32,116.69168,39.85146
1,2008-02-03 00:40:32,116.69172,39.85165
1,2008-02-03 00:50:32,116.69176,39.85165
1,2008-02-03 01:00:32,116.69168,39.85163
1,2008-02-03 01:10:32,116.69166,39.85159
1,2008-02-03 01:40:31,116.69164,39.85186
1,2008-02-03 01:50:31,116.69167,39.85196
1,2008-02-03 02:00:32,116.69167,39.85167
1,2008-02-03 02:21:26,116.69176,39.85183
1,2008-02-03 02:30:31,116.69173,39.85174
1,2008-02-03 02:50:32,116.69172,39.85179
1,2008-02-03 03:00:32,116.69171,39.85176
1,2008-02-03 03:10:31,116.6917,39.85176
1,2008-02-03 03:20:31,116.69164,39.85165
1,2008-02-03 03:30:31,116.69155,39.85181
1,2008-02-03 03:40:31,116.69158,39.8518
1,2008-02-03 03:50:31,116.69156,39.85141
1,2008-02-03 04:00:31,116.69161,39.85155
1,2008-02-03 04:10:31,116.69156,39.85161
1,2008-02-03 04:20:31,116.6916,39.85156
1,2008-02-03 04:30:31,116.6918,39.85176
1,2008-02-03 04:40:31,116.69179,39.85177
1,2008-02-03 04:50:31,116.69176,39.85176
1,2008-02-03 05:00:31,116.69177,39.85175
1,2008-02-03 05:10:30,116.69157,39.85211
1,2008-02-03 05:20:30,116.69162,39.85157
1,2008-02-03 05:30:30,116.69162,39.85158
1,2008-02-03 05:40:30,116.69161,39.8516
1,2008-02-03 05:50:31,116.69138,39.85178
1,2008-02-03 06:00:31,116.69156,39.85166
1,2008-02-03 06:10:30,116.69129,39.85191
1,2008-02-03 06:20:30,116.69172,39.85176
1,2008-02-03 06:40:30,116.69165,39.85173
1,2008-02-03 06:50:30,116.69169,39.85142
1,2008-02-03 07:00:30,116.69164,39.85158
1,2008-02-03 07:10:30,116.69162,39.85163
1,2008-02-03 07:20:30,116.69161,39.85166
1,2008-02-03 07:40:30,116.69184,39.85188
1,2008-02-03 07:50:30,116.69165,39.85161
